INVOICE_ID,INVOICE_DATE,INVOICE_AMOUNT,AMOUNT_PAID,ATTRIBUTE_CATEGORY,INVOICE_NUM,RECEIVER
2150360,01-AUG-16,300,300,AVANSAS,1-90/18-08,"VAIDAS KUKARĖNAS"
2150364,01-AUG-16,300,300,AVANSAS,1-90/20-08,"PAULĖ KUZMICKIENĖ"
2150371,01-AUG-16,300,300,AVANSAS,1-90/21-08,"ARTUR LIUDKOVSKI"
2150379,01-AUG-16,300,300,AVANSAS,1-90/22-08,"MYKOLAS MAJAUSKAS"
2150392,01-AUG-16,300,300,AVANSAS,1-90/23-08,"ZBIGNIEV MACIEJEVSKI"
2150404,01-AUG-16,300,300,AVANSAS,1-90/24-08,"AUŠRA MALDEIKIENĖ"
2150407,01-AUG-16,300,300,AVANSAS,1-90/25-08,"VIDMANTAS MARTIKONIS"
2150411,01-AUG-16,300,300,AVANSAS,1-90/26-08,"VYTAUTAS MITALAS"
2150418,01-AUG-16,300,300,AVANSAS,1-90/27-08,"MIROSLAVAS MONKEVIČIUS"
2150421,01-AUG-16,300,300,AVANSAS,1-90/28-08,"RAFAEL MUKSINOV"
2150422,01-AUG-16,300,300,AVANSAS,1-90/29-08,"KĘSTUTIS NĖNIUS"
2150425,01-AUG-16,300,300,AVANSAS,1-90/30-08,"JUOZAS OLEKAS"
2150426,01-AUG-16,300,300,AVANSAS,1-90/31-08,"VIOLETA PODOLSKAITĖ"
2150427,01-AUG-16,300,300,AVANSAS,1-90/32-08,"ROMUALDA POŠEVECKAJA"
2150428,01-AUG-16,300,300,AVANSAS,1-90/33-08,"GEDIMINAS RUDŽIONIS"
2150430,01-AUG-16,300,300,AVANSAS,1-90/34-08,"GŽEGOŽ SAKSON"
2150431,01-AUG-16,300,300,AVANSAS,1-90/35-08,"ARVYDAS SEKMOKAS"
2150432,01-AUG-16,300,300,AVANSAS,1-90/36-08,"MARIUS SKARUPSKAS"
2150433,01-AUG-16,300,300,AVANSAS,1-90/37-08,"ŠARŪNAS SKUČAS"
2150434,01-AUG-16,300,300,AVANSAS,1-90/38-08,"GEDIMINAS STORPIRŠTIS"
2150435,01-AUG-16,300,300,AVANSAS,1-90/39-08,"LIUTAURAS STOŠKUS"
2150436,01-AUG-16,300,300,AVANSAS,1-90/40-08,"ŽILVINAS ŠILGALIS"
2150437,01-AUG-16,300,300,AVANSAS,1-90/41-08,"EDITA ŠIŠKO"
2150438,01-AUG-16,300,300,AVANSAS,1-90/42-08,"ALDONA ŠVENTICKIENĖ"
2150439,01-AUG-16,300,300,AVANSAS,1-90/43-08,"GEDIMINAS ŠVILPA"
2150440,01-AUG-16,300,300,AVANSAS,1-90/44-08,"EDITA TAMOŠIŪNAITĖ"
2150441,01-AUG-16,300,300,AVANSAS,1-90/45-08,"SKIRMANTAS TUMELIS"
