"ID";"SHOWS";"QUESTION_ID";"MEETING_ID";"VOTING_INFO";"VOTING_SHORT";"VOTE_DATE";"VOTE";"SYS_ID"
"54";"Už";"28148";"10504907";"P. Kuzmickienė";"P. Kuzmickienė";"2012-01-24 13:16:50";"Už";"1"
"55";"Už";"28148";"10504907";"J. Kvetkovskij";"J. Kvetkovskij";"2012-01-24 13:16:50";"Už";"1"
"56";"Už";"28148";"10504907";"T. Lavrynovič";"T. Lavrynovič";"2012-01-24 13:16:50";"Už";"1"
"57";"Už";"28148";"10504907";"A. Liudkovski";"A. Liudkovski";"2012-01-24 13:16:50";"Už";"1"
"58";"Už";"28148";"10504907";"K. Nėnius";"K. Nėnius";"2012-01-24 13:16:50";"Už";"1"
"59";"Už";"28148";"10504907";"J. Pinskus";"J. Pinskus";"2012-01-24 13:16:50";"Už";"1"
"60";"Už";"28148";"10504907";"J. Požela";"J. Požela";"2012-01-24 13:16:50";"Už";"1"
"61";"Už";"28148";"10504907";"N. Šliachtič";"N. Šliachtič";"2012-01-24 13:16:50";"Už";"1"
"62";"Už";"28148";"10504907";"G. Švilpa";"G. Švilpa";"2012-01-24 13:16:50";"Už";"1"
"63";"Už";"28148";"10504907";"E. Stanišauskas";"E. Stanišauskas";"2012-01-24 13:16:50";"Už";"1"
"64";"Už";"28148";"10504907";"A. Strelčiūnas";"A. Strelčiūnas";"2012-01-24 13:16:50";"Už";"1"
"65";"Už";"28148";"10504907";"P. Tamošauskas";"P. Tamošauskas";"2012-01-24 13:16:50";"Už";"1"
"66";"Už";"28148";"10504907";"V. Urbonavičius";"V. Urbonavičius";"2012-01-24 13:16:50";"Už";"1"
"67";"Už";"28148";"10504907";"A. Zaremba";"A. Zaremba";"2012-01-24 13:16:50";"Už";"1"
"68";"Už";"28148";"10504907";"A. Zuokas";"A. Zuokas";"2012-01-24 13:16:50";"Už";"1"
"69";"Prieš";"28148";"10504907";"Š. Birutis";"Š. Birutis";"2012-01-24 13:16:50";"Prieš";"3"
"70";"Prieš";"28148";"10504907";"O. Gorškova";"O. Gorškova";"2012-01-24 13:16:50";"Prieš";"3"
"71";"Prieš";"28148";"10504907";"I. Kačinskaitė";"I. Kačinskaitė";"2012-01-24 13:16:50";"Prieš";"3"
"72";"Prieš";"28148";"10504907";"V. Milėnas";"V. Milėnas";"2012-01-24 13:16:50";"Prieš";"3"
"73";"Prieš";"28148";"10504907";"G. Sakson";"G. Sakson";"2012-01-24 13:16:50";"Prieš";"3"
"74";"Susilaikė";"28148";"10504907";"V. Benkunskas";"V. Benkunskas";"2012-01-24 13:16:50";"Susilaikė";"2"
"75";"Susilaikė";"28148";"10504907";"B. Galinienė";"B. Galinienė";"2012-01-24 13:16:50";"Susilaikė";"2"
"76";"Susilaikė";"28148";"10504907";"V. Kliukienė";"V. Kliukienė";"2012-01-24 13:16:50";"Susilaikė";"2"
"77";"Susilaikė";"28148";"10504907";"I. Litvinovič";"I. Litvinovič";"2012-01-24 13:16:50";"Susilaikė";"2"
"78";"Susilaikė";"28148";"10504907";"S. Ursul";"S. Ursul";"2012-01-24 13:16:50";"Susilaikė";"2"
"79";"Už";"28149";"10504907";"J. Kaminski";"J. Kaminski";"2012-01-24 13:17:53";"Už";"1"
"80";"Už";"28149";"10504907";"V. Kravčionok";"V. Kravčionok";"2012-01-24 13:17:53";"Už";"1"
"81";"Už";"28149";"10504907";"I. Litvinovič";"I. Litvinovič";"2012-01-24 13:17:53";"Už";"1"
"82";"Už";"28149";"10504907";"G. Sakson";"G. Sakson";"2012-01-24 13:17:53";"Už";"1"
"83";"Prieš";"28149";"10504907";"R. Adomavičius";"R. Adomavičius";"2012-01-24 13:17:53";"Prieš";"3"
"84";"Prieš";"28149";"10504907";"R. Alekna";"R. Alekna";"2012-01-24 13:17:53";"Prieš";"3"
"85";"Prieš";"28149";"10504907";"R. Baškienė";"R. Baškienė";"2012-01-24 13:17:53";"Prieš";"3"
"86";"Prieš";"28149";"10504907";"V. Benkunskas";"V. Benkunskas";"2012-01-24 13:17:53";"Prieš";"3"
